HDFC BANK LTD
"Statement of account for Salaried professional, Bengaluru"
Account No,501006433012
Account Type,SAVINGS ACCOUNT

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
07/08/25,POS 5444XXXXXXXX9344 THIRD WAVE COFFEE,,07/08/25,291.50,,436060.22
08/08/25,UPI/709932044381/ZOMATO ONLINE ORDER/YESB,,08/08/25,366.48,,435693.74
08/08/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/08/25,2158.23,,433535.51
09/08/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/08/25,3015.00,,430520.51
09/08/25,POS 4604XXXXXXXX7231 MCDONALDS INDIA PVT,,09/08/25,876.15,,429644.36
09/08/25,UPI/284537152507/URBAN COMPANY SALON/HDFC,,09/08/25,859.02,,428785.34
09/08/25,UPI/473729393212/OLA CABS ANI TECH/PAYTM,,09/08/25,653.97,,428131.37
09/08/25,UPI/891173660699/FLIPKART INTERNET/HDFC,,09/08/25,7397.37,,420734.00
09/08/25,UPI/997548094492/APOLLO PHARMACY/HDFC,,09/08/25,1108.85,,419625.15
10/08/25,POS 5202XXXXXXXX6830 CHAAYOS TEA CAFE,,10/08/25,536.74,,419088.41
11/08/25,ACH DR SPOTIFY INDIA PREMIUM,,11/08/25,164.00,,418924.41
11/08/25,UPI/513685060264/UBER INDIA SYSTEMS/HDFC,,11/08/25,530.30,,418394.11
12/08/25,UPI/160438458342/UBER INDIA SYSTEMS/HDFC,,12/08/25,613.12,,417780.99
12/08/25,UPI/859506274482/BEHROUZ BIRYANI/PAYTM,,12/08/25,657.30,,417123.69
12/08/25,UPI/955926807688/MAHANAGAR GAS BILL PAY/MGAS,,12/08/25,623.88,,416499.81
14/08/25,UPI/697648056488/PAYTM FASTAG RECHARGE/PYTM,,14/08/25,830.49,,415669.32
14/08/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/08/25,599.00,,415070.32
15/08/25,UPI/345981006397/LICIOUS MEAT DELIVERY/HDFC,,15/08/25,679.41,,414390.91
16/08/25,ACH DR ADOBE CREATIVE CLOUD,,16/08/25,1675.00,,412715.91
16/08/25,POS 5312XXXXXXXX5665 HPCL PETROL PUMP,,16/08/25,3829.26,,408886.65
17/08/25,UPI/705588805124/BEHROUZ BIRYANI/PAYTM,,17/08/25,627.94,,408258.71
19/08/25,ACH DR GOOGLE ONE STORAGE,,19/08/25,210.00,,408048.71
19/08/25,POS 5168XXXXXXXX6522 MCDONALDS INDIA PVT,,19/08/25,695.86,,407352.85
20/08/25,POS 4755XXXXXXXX2800 MCDONALDS INDIA PVT,,20/08/25,266.55,,407086.30
20/08/25,UPI/295271737988/ZEPTO NOW/YESB,,20/08/25,1215.57,,405870.73
23/08/25,ATW-4296XXXXXXXX2210-HDFC BANK ATM CASH WITHDRAWAL,,23/08/25,10000.00,,395870.73
23/08/25,UPI/309982897990/APOLLO PHARMACY/HDFC,,23/08/25,1072.44,,394798.29
23/08/25,UPI/547535504734/SWIGGY FOOD ORDER/HDFC,,23/08/25,491.59,,394306.70
24/08/25,POS 5502XXXXXXXX7131 IKEA INDIA PVT LTD,,24/08/25,6704.50,,387602.20
25/08/25,POS 4080XXXXXXXX9066 HPCL PETROL PUMP,,25/08/25,2619.76,,384982.44
25/08/25,UPI/250267394572/AMAZON SELLER SERV REFUND/HDFC,,25/08/25,,1877.80,386860.24
26/08/25,ATW-5105XXXXXXXX7012-HDFC BANK ATM CASH WITHDRAWAL,,26/08/25,10000.00,,376860.24
27/08/25,IMPS DR-446762247-SELF TRANSFER TO SAVINGS AC,,27/08/25,39929.47,,336930.77
27/08/25,POS 4367XXXXXXXX6895 CULT FIT FITNESS,,27/08/25,2110.03,,334820.74
27/08/25,UPI/857785919410/SWIGGY FOOD ORDER/HDFC,,27/08/25,382.80,,334437.94
27/08/25,UPI/959079425879/LICIOUS MEAT DELIVERY/HDFC,,27/08/25,1279.82,,333158.12
29/08/25,POS 4183XXXXXXXX7664 IRCTC RAIL TICKET BOOKING,,29/08/25,1353.75,,331804.37
29/08/25,UPI/961169233239/BARBEQUE NATION HOSP/HDFC,,29/08/25,1639.48,,330164.89
30/08/25,POS 4654XXXXXXXX9271 THIRD WAVE COFFEE,,30/08/25,571.11,,329593.78
30/08/25,UPI/418319656121/OLA CABS ANI TECH/PAYTM,,30/08/25,381.25,,329212.53
30/08/25,UPI/440100761661/FLIPKART INTERNET/HDFC,,30/08/25,2310.36,,326902.17
31/08/25,UPI/398484466428/PAYTM FASTAG RECHARGE/PYTM,,31/08/25,737.62,,326164.55
31/08/25,UPI/735226796638/BARBEQUE NATION HOSP/HDFC,,31/08/25,2869.79,,323294.76
31/08/25,UPI/754496764409/BLINKIT GROCERY/HDFC,,31/08/25,1381.28,,321913.48
01/09/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY SEP25,,01/09/25,,185286.84,507200.32
02/09/25,UPI/738772105140/PAYTM FASTAG RECHARGE/PYTM,,02/09/25,979.16,,506221.16
02/09/25,UPI/950849214560/NOBROKER PAY RENT LANDLORD/HDFC,,02/09/25,34000.00,,472221.16
05/09/25,ACH DR HDFC BANK HOME LOAN EMI SEP25,,05/09/25,21500.00,,450721.16
05/09/25,UPI/794133274500/UBER INDIA SYSTEMS/HDFC,,05/09/25,215.83,,450505.33
05/09/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/09/25,1199.00,,449306.33
06/09/25,UPI/288189168712/ZERODHA BROKING MF SIP/ZERO,,06/09/25,20000.00,,429306.33
07/09/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/09/25,649.00,,428657.33
07/09/25,UPI/576411921621/OLA CABS ANI TECH/PAYTM,,07/09/25,642.68,,428014.65
08/09/25,SMS ALERT CHARGES INCL GST,,08/09/25,23.60,,427991.05
08/09/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/09/25,1728.30,,426262.75
09/09/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/09/25,3015.00,,423247.75
09/09/25,POS 4292XXXXXXXX3965 HPCL PETROL PUMP,,09/09/25,3068.88,,420178.87
11/09/25,ACH DR SPOTIFY INDIA PREMIUM,,11/09/25,164.00,,420014.87
12/09/25,UPI/683947344885/MAHANAGAR GAS BILL PAY/MGAS,,12/09/25,601.46,,419413.41
13/09/25,POS 4611XXXXXXXX4592 AMAZON SELLER SERVICES,,13/09/25,1590.40,,417823.01
13/09/25,UPI/579545549884/PHARMEASY ONLINE/ICIC,,13/09/25,2007.43,,415815.58
13/09/25,UPI/585719298999/BIGBASKET SUPERMKT/ICIC,,13/09/25,2701.91,,413113.67
13/09/25,UPI/898379999326/ZOMATO ONLINE ORDER/YESB,,13/09/25,446.13,,412667.54
14/09/25,UPI/366443430952/BLINKIT GROCERY/HDFC,,14/09/25,1366.24,,411301.30
14/09/25,UPI/859519993758/WOW MOMO FOODS/AXIS,,14/09/25,426.46,,410874.84
14/09/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/09/25,599.00,,410275.84
15/09/25,POS 5507XXXXXXXX1201 CHAAYOS TEA CAFE,,15/09/25,187.82,,410088.02
16/09/25,ACH DR ADOBE CREATIVE CLOUD,,16/09/25,1675.00,,408413.02
17/09/25,UPI/881972890454/NAMMA YATRI/AXIS,,17/09/25,140.88,,408272.14
19/09/25,ACH DR GOOGLE ONE STORAGE,,19/09/25,210.00,,408062.14
19/09/25,UPI/506076849899/UBER INDIA SYSTEMS/HDFC,,19/09/25,526.05,,407536.09
20/09/25,UPI/850465896083/COUNTRY DELIGHT MILK/AXIS,,20/09/25,480.33,,407055.76
21/09/25,UPI/578645438900/WOW MOMO FOODS/AXIS,,21/09/25,654.11,,406401.65
21/09/25,UPI/695858068437/BOOKMYSHOW TICKETS/HDFC,,21/09/25,457.46,,405944.19
21/09/25,UPI/850904336543/COUNTRY DELIGHT MILK/AXIS,,21/09/25,476.78,,405467.41
22/09/25,UPI/554734464914/DOMINOS PIZZA IND/ICIC,,22/09/25,965.51,,404501.90
23/09/25,POS 4399XXXXXXXX3998 AMAZON SELLER SERVICES,,23/09/25,1509.09,,402992.81
24/09/25,ATW-5282XXXXXXXX7552-HDFC BANK ATM CASH WITHDRAWAL,,24/09/25,5000.00,,397992.81
24/09/25,UPI/156764340632/UBER INDIA SYSTEMS/HDFC,,24/09/25,151.07,,397841.74
26/09/25,IMPS DR-578047643-SELF TRANSFER TO SAVINGS AC,,26/09/25,33826.97,,364014.77
27/09/25,POS 5243XXXXXXXX3612 THIRD WAVE COFFEE,,27/09/25,484.67,,363530.10
28/09/25,POS 5516XXXXXXXX7032 IRCTC RAIL TICKET BOOKING,,28/09/25,991.76,,362538.34
29/09/25,UPI/292876592685/WOW MOMO FOODS/AXIS,,29/09/25,193.25,,362345.09
01/10/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY OCT25,,01/10/25,,185144.06,547489.15
01/10/25,POS 4283XXXXXXXX5642 MCDONALDS INDIA PVT,,01/10/25,526.38,,546962.77
01/10/25,POS 5089XXXXXXXX2583 AMAZON SELLER SERVICES,,01/10/25,2332.08,,544630.69
01/10/25,UPI/757620945248/NAMMA YATRI/AXIS,,01/10/25,389.16,,544241.53
02/10/25,UPI/367137294636/WOW MOMO FOODS/AXIS,,02/10/25,338.06,,543903.47
02/10/25,UPI/483853442102/PAYTM FASTAG RECHARGE/PYTM,,02/10/25,989.49,,542913.98
02/10/25,UPI/663661555854/NOBROKER PAY RENT LANDLORD/HDFC,,02/10/25,34000.00,,508913.98
02/10/25,UPI/703374988106/ZEPTO NOW/YESB,,02/10/25,1057.30,,507856.68
03/10/25,UPI/246875871159/WOW MOMO FOODS/AXIS,,03/10/25,538.57,,507318.11
03/10/25,UPI/284477976411/RAPIDO BIKE TAXI/YESB,,03/10/25,157.48,,507160.63
03/10/25,UPI/289898309918/FLIPKART INTERNET/HDFC,,03/10/25,5538.24,,501622.39
04/10/25,POS 4028XXXXXXXX5203 HPCL PETROL PUMP,,04/10/25,3513.64,,498108.75
04/10/25,UPI/509300569596/WOW MOMO FOODS/AXIS,,04/10/25,710.50,,497398.25
04/10/25,UPI/848923773919/ZEPTO NOW/YESB,,04/10/25,1347.05,,496051.20
05/10/25,ACH DR HDFC BANK HOME LOAN EMI OCT25,,05/10/25,21500.00,,474551.20
05/10/25,POS 5333XXXXXXXX2370 STARBUCKS COFFEE INDIA,,05/10/25,495.33,,474055.87
05/10/25,UPI/522853965140/BLINKIT GROCERY/HDFC,,05/10/25,1520.18,,472535.69
05/10/25,UPI/803122047670/UBER INDIA SYSTEMS/HDFC,,05/10/25,220.57,,472315.12
05/10/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/10/25,1199.00,,471116.12
06/10/25,UPI/361653770510/ZERODHA BROKING MF SIP/ZERO,,06/10/25,20000.00,,451116.12
07/10/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/10/25,649.00,,450467.12
07/10/25,UPI/934421476211/BEHROUZ BIRYANI/PAYTM,,07/10/25,797.78,,449669.34
08/10/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/10/25,2153.97,,447515.37
09/10/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/10/25,3015.00,,444500.37
09/10/25,POS 5076XXXXXXXX3069 MCDONALDS INDIA PVT,,09/10/25,538.78,,443961.59
09/10/25,UPI/834074643474/OLA CABS ANI TECH/PAYTM,,09/10/25,611.87,,443349.72
10/10/25,UPI/258741377113/BARBEQUE NATION HOSP/HDFC,,10/10/25,2753.49,,440596.23
11/10/25,ACH DR SPOTIFY INDIA PREMIUM,,11/10/25,164.00,,440432.23
11/10/25,UPI/498868171684/ZOMATO ONLINE ORDER/YESB,,11/10/25,1114.23,,439318.00
12/10/25,UPI/253960554080/MAHANAGAR GAS BILL PAY/MGAS,,12/10/25,847.57,,438470.43
12/10/25,UPI/510918970123/FLIPKART INTERNET/HDFC,,12/10/25,4632.35,,433838.08
13/10/25,POS 4685XXXXXXXX4671 MCDONALDS INDIA PVT,,13/10/25,629.81,,433208.27
13/10/25,UPI/102953797696/PAYTM FASTAG RECHARGE/PYTM,,13/10/25,937.75,,432270.52
14/10/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/10/25,599.00,,431671.52
15/10/25,ATW-4100XXXXXXXX8306-HDFC BANK ATM CASH WITHDRAWAL,,15/10/25,5000.00,,426671.52
15/10/25,UPI/533786809433/RAPIDO BIKE TAXI/YESB,,15/10/25,161.38,,426510.14
16/10/25,ACH DR ADOBE CREATIVE CLOUD,,16/10/25,1675.00,,424835.14
16/10/25,POS 5336XXXXXXXX6198 THIRD WAVE COFFEE,,16/10/25,349.68,,424485.46
19/10/25,ACH DR GOOGLE ONE STORAGE,,19/10/25,210.00,,424275.46
19/10/25,UPI/311448537792/BIGBASKET SUPERMKT/ICIC,,19/10/25,2939.27,,421336.19
19/10/25,UPI/791395877832/DOMINOS PIZZA IND/ICIC,,19/10/25,1048.51,,420287.68
20/10/25,ATW-4138XXXXXXXX6024-HDFC BANK ATM CASH WITHDRAWAL,,20/10/25,2000.00,,418287.68
20/10/25,NEFT DR-DR MEHTA MULTISPECIALITY-MEDICAL PROCEDURE,,20/10/25,72000.00,,346287.68
20/10/25,POS 4383XXXXXXXX5974 MCDONALDS INDIA PVT,,20/10/25,507.16,,345780.52
20/10/25,POS 4602XXXXXXXX4824 CULT FIT FITNESS,,20/10/25,1716.81,,344063.71
21/10/25,UPI/584952668553/BEHROUZ BIRYANI/PAYTM,,21/10/25,832.52,,343231.19
21/10/25,UPI/913734482452/FLIPKART INTERNET/HDFC,,21/10/25,5420.61,,337810.58
22/10/25,POS 4891XXXXXXXX3006 HPCL PETROL PUMP,,22/10/25,3716.01,,334094.57
23/10/25,POS 4865XXXXXXXX1684 DECATHLON SPORTS INDIA,,23/10/25,4390.32,,329704.25
23/10/25,UPI/143878100600/SWIGGY FOOD ORDER/HDFC,,23/10/25,830.26,,328873.99
24/10/25,UPI/136898203671/DOMINOS PIZZA IND/ICIC,,24/10/25,667.67,,328206.32
25/10/25,POS 5247XXXXXXXX8706 PVR CINEMAS LTD,,25/10/25,596.56,,327609.76
25/10/25,UPI/336506086281/NAMMA YATRI/AXIS,,25/10/25,394.04,,327215.72
25/10/25,UPI/517946673916/WOW MOMO FOODS/AXIS,,25/10/25,455.02,,326760.70
26/10/25,IMPS DR-275080387-SELF TRANSFER TO SAVINGS AC,,26/10/25,45299.61,,281461.09
29/10/25,UPI/698695630699/FLIPKART INTERNET/HDFC,,29/10/25,5068.42,,276392.67
29/10/25,UPI/717319914071/NAMMA YATRI/AXIS,,29/10/25,201.56,,276191.11
31/10/25,UPI/189450153795/UBER INDIA SYSTEMS/HDFC,,31/10/25,740.15,,275450.96
01/11/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY NOV25,,01/11/25,,185030.24,460481.20
01/11/25,POS 4507XXXXXXXX6500 DMART AVENUE SUPERMARTS,,01/11/25,2685.96,,457795.24
01/11/25,UPI/209608598359/OLA CABS ANI TECH/PAYTM,,01/11/25,151.94,,457643.30
02/11/25,POS 4166XXXXXXXX2337 CULT FIT FITNESS,,02/11/25,1705.32,,455937.98
02/11/25,POS 5183XXXXXXXX4791 DMART AVENUE SUPERMARTS,,02/11/25,2880.60,,453057.38
02/11/25,UPI/280961084317/NOBROKER PAY RENT LANDLORD/HDFC,,02/11/25,34000.00,,419057.38
02/11/25,UPI/877749693984/RAPIDO BIKE TAXI/YESB,,02/11/25,185.73,,418871.65
03/11/25,POS 4747XXXXXXXX3823 DMART AVENUE SUPERMARTS,,03/11/25,1668.53,,417203.12
03/11/25,UPI/686388476166/NYKAA ECOMM/ICIC,,03/11/25,1826.35,,415376.77
04/11/25,UPI/251424155558/RAPIDO BIKE TAXI/YESB,,04/11/25,106.19,,415270.58
04/11/25,UPI/347455307160/BEHROUZ BIRYANI/PAYTM,,04/11/25,655.91,,414614.67
05/11/25,ACH DR HDFC BANK HOME LOAN EMI NOV25,,05/11/25,21500.00,,393114.67
05/11/25,POS 4747XXXXXXXX2825 STARBUCKS COFFEE INDIA,,05/11/25,584.04,,392530.63
05/11/25,POS 5430XXXXXXXX4383 IRCTC RAIL TICKET BOOKING,,05/11/25,936.87,,391593.76
05/11/25,UPI/321608573136/COUNTRY DELIGHT MILK/AXIS,,05/11/25,588.94,,391004.82
05/11/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/11/25,1199.00,,389805.82
06/11/25,UPI/373528546779/PAYTM FASTAG RECHARGE/PYTM,,06/11/25,520.59,,389285.23
06/11/25,UPI/551551979112/ZEPTO NOW/YESB,,06/11/25,442.77,,388842.46
06/11/25,UPI/551646849184/ZERODHA BROKING MF SIP/ZERO,,06/11/25,20000.00,,368842.46
07/11/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/11/25,649.00,,368193.46
07/11/25,POS 4854XXXXXXXX7974 MCDONALDS INDIA PVT,,07/11/25,691.94,,367501.52
08/11/25,POS 4966XXXXXXXX5061 IRCTC RAIL TICKET BOOKING,,08/11/25,685.50,,366816.02
08/11/25,POS 5077XXXXXXXX2179 AMAZON SELLER SERVICES,,08/11/25,5445.85,,361370.17
08/11/25,UPI/820140730728/COUNTRY DELIGHT MILK/AXIS,,08/11/25,871.94,,360498.23
08/11/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/11/25,2495.17,,358003.06
09/11/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/11/25,3015.00,,354988.06
09/11/25,UPI/472431222365/AMAZON SELLER SERV REFUND/HDFC,,09/11/25,,2389.94,357378.00
09/11/25,UPI/514999346809/ZOMATO ONLINE ORDER/YESB,,09/11/25,871.31,,356506.69
11/11/25,ACH DR SPOTIFY INDIA PREMIUM,,11/11/25,164.00,,356342.69
11/11/25,POS 4332XXXXXXXX1306 LAKME SALON,,11/11/25,974.81,,355367.88
12/11/25,UPI/731660232938/MAHANAGAR GAS BILL PAY/MGAS,,12/11/25,1044.33,,354323.55
13/11/25,POS 5515XXXXXXXX9474 LAKME SALON,,13/11/25,2311.01,,352012.54
13/11/25,UPI/386762963706/BEHROUZ BIRYANI/PAYTM,,13/11/25,694.27,,351318.27
14/11/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/11/25,599.00,,350719.27
15/11/25,UPI/780597633203/BIGBASKET SUPERMKT/ICIC,,15/11/25,3494.70,,347224.57
15/11/25,UPI/785591235308/BEHROUZ BIRYANI/PAYTM,,15/11/25,874.23,,346350.34
16/11/25,ACH DR ADOBE CREATIVE CLOUD,,16/11/25,1675.00,,344675.34
16/11/25,POS 5359XXXXXXXX1141 IRCTC RAIL TICKET BOOKING,,16/11/25,759.61,,343915.73
17/11/25,UPI/116178825264/CRED CLUB CREDIT CARD BILL/AXIS,,17/11/25,11092.21,,332823.52
17/11/25,UPI/434412384545/NAMMA YATRI/AXIS,,17/11/25,276.70,,332546.82
19/11/25,ACH DR GOOGLE ONE STORAGE,,19/11/25,210.00,,332336.82
19/11/25,ATW-5481XXXXXXXX3836-HDFC BANK ATM CASH WITHDRAWAL,,19/11/25,5000.00,,327336.82
20/11/25,POS 4329XXXXXXXX6729 MCDONALDS INDIA PVT,,20/11/25,375.33,,326961.49
20/11/25,UPI/154240066523/RAPIDO BIKE TAXI/YESB,,20/11/25,125.88,,326835.61
21/11/25,POS 4785XXXXXXXX6188 PRACTO CONSULT,,21/11/25,1020.98,,325814.63
21/11/25,UPI/281166978835/URBAN COMPANY SALON/HDFC,,21/11/25,1593.36,,324221.27
22/11/25,ATW-4204XXXXXXXX6562-HDFC BANK ATM CASH WITHDRAWAL,,22/11/25,5000.00,,319221.27
22/11/25,UPI/150713284676/BLINKIT GROCERY/HDFC,,22/11/25,1121.84,,318099.43
23/11/25,POS 4341XXXXXXXX3281 LAKME SALON,,23/11/25,1986.38,,316113.05
23/11/25,POS 5526XXXXXXXX6645 AMAZON SELLER SERVICES,,23/11/25,7642.05,,308471.00
23/11/25,UPI/217588093473/OLA CABS ANI TECH/PAYTM,,23/11/25,567.15,,307903.85
23/11/25,UPI/377888782102/WOW MOMO FOODS/AXIS,,23/11/25,419.96,,307483.89
24/11/25,UPI/701905094648/COUNTRY DELIGHT MILK/AXIS,,24/11/25,807.12,,306676.77
25/11/25,UPI/991027948573/APOLLO PHARMACY/HDFC,,25/11/25,335.34,,306341.43
27/11/25,IMPS DR-743850367-SELF TRANSFER TO SAVINGS AC,,27/11/25,33749.80,,272591.63
27/11/25,UPI/835348173605/UBER INDIA SYSTEMS/HDFC,,27/11/25,345.90,,272245.73
27/11/25,UPI/888684216722/DOMINOS PIZZA IND/ICIC,,27/11/25,940.14,,271305.59
28/11/25,POS 5354XXXXXXXX1369 LAKME SALON,,28/11/25,1222.70,,270082.89
28/11/25,UPI/178218092340/ZOMATO ONLINE ORDER/YESB,,28/11/25,769.46,,269313.43
29/11/25,UPI/275751725598/RAPIDO BIKE TAXI/YESB,,29/11/25,148.45,,269164.98
29/11/25,UPI/842105014721/SWIGGY FOOD ORDER/HDFC,,29/11/25,741.96,,268423.02
30/11/25,UPI/786341933219/PAYTM FASTAG RECHARGE/PYTM,,30/11/25,928.16,,267494.86
30/11/25,UPI/925466860267/PHARMEASY ONLINE/ICIC,,30/11/25,387.01,,267107.85
01/12/25,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY DEC25,,01/12/25,,200662.69,467770.54
01/12/25,UPI/372024105890/LICIOUS MEAT DELIVERY/HDFC,,01/12/25,1662.20,,466108.34
01/12/25,UPI/712347915404/SWIGGY FOOD ORDER/HDFC,,01/12/25,331.94,,465776.40
02/12/25,UPI/579572343736/NOBROKER PAY RENT LANDLORD/HDFC,,02/12/25,34000.00,,431776.40
03/12/25,POS 4899XXXXXXXX1174 STARBUCKS COFFEE INDIA,,03/12/25,441.91,,431334.49
04/12/25,UPI/345730666047/PAYTM FASTAG RECHARGE/PYTM,,04/12/25,970.35,,430364.14
04/12/25,UPI/934363127234/BIGBASKET SUPERMKT/ICIC,,04/12/25,2591.77,,427772.37
05/12/25,ACH DR HDFC BANK HOME LOAN EMI DEC25,,05/12/25,21500.00,,406272.37
05/12/25,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/12/25,1199.00,,405073.37
06/12/25,POS 4123XXXXXXXX7053 HPCL PETROL PUMP,,06/12/25,2940.34,,402133.03
06/12/25,POS 5219XXXXXXXX7531 THIRD WAVE COFFEE,,06/12/25,574.22,,401558.81
06/12/25,UPI/150728089088/ZERODHA BROKING MF SIP/ZERO,,06/12/25,20000.00,,381558.81
06/12/25,UPI/428944868323/BIGBASKET SUPERMKT/ICIC,,06/12/25,2523.30,,379035.51
07/12/25,ACH DR NETFLIX ENTERTAINMENT SVC,,07/12/25,649.00,,378386.51
07/12/25,UPI/288967329908/LICIOUS MEAT DELIVERY/HDFC,,07/12/25,1059.64,,377326.87
07/12/25,UPI/780522852471/DOMINOS PIZZA IND/ICIC,,07/12/25,721.63,,376605.24
08/12/25,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/12/25,2744.59,,373860.65
09/12/25,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/12/25,3015.00,,370845.65
10/12/25,UPI/133977990843/DOMINOS PIZZA IND/ICIC,,10/12/25,1032.54,,369813.11
10/12/25,UPI/752279925296/PHARMEASY ONLINE/ICIC,,10/12/25,1736.81,,368076.30
11/12/25,ACH DR SPOTIFY INDIA PREMIUM,,11/12/25,164.00,,367912.30
11/12/25,ATW-4091XXXXXXXX1941-HDFC BANK ATM CASH WITHDRAWAL,,11/12/25,10000.00,,357912.30
12/12/25,UPI/195184192988/MAHANAGAR GAS BILL PAY/MGAS,,12/12/25,692.03,,357220.27
12/12/25,UPI/719097913530/NAMMA YATRI/AXIS,,12/12/25,293.50,,356926.77
13/12/25,UPI/827674161039/ZEPTO NOW/YESB,,13/12/25,246.44,,356680.33
13/12/25,UPI/961680147650/WOW MOMO FOODS/AXIS,,13/12/25,312.19,,356368.14
14/12/25,UPI/284027172406/SWIGGY FOOD ORDER/HDFC,,14/12/25,762.38,,355605.76
14/12/25,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,14/12/25,599.00,,355006.76
15/12/25,UPI/192927085260/CRED CLUB CREDIT CARD BILL/AXIS,,15/12/25,9772.56,,345234.20
15/12/25,UPI/560954963119/UBER INDIA SYSTEMS/HDFC,,15/12/25,521.30,,344712.90
16/12/25,ACH DR ADOBE CREATIVE CLOUD,,16/12/25,1675.00,,343037.90
16/12/25,UPI/865033141551/OLA CABS ANI TECH/PAYTM,,16/12/25,207.19,,342830.71
17/12/25,POS 5385XXXXXXXX9294 STARBUCKS COFFEE INDIA,,17/12/25,473.68,,342357.03
17/12/25,UPI/108847389452/OLA CABS ANI TECH/PAYTM,,17/12/25,455.97,,341901.06
18/12/25,UPI/243232176484/UBER INDIA SYSTEMS/HDFC,,18/12/25,744.51,,341156.55
18/12/25,UPI/825133706780/BARBEQUE NATION HOSP/HDFC,,18/12/25,1592.85,,339563.70
19/12/25,ACH DR GOOGLE ONE STORAGE,,19/12/25,210.00,,339353.70
19/12/25,POS 5217XXXXXXXX4589 LAKME SALON,,19/12/25,2177.15,,337176.55
19/12/25,UPI/191358259933/PHARMEASY ONLINE/ICIC,,19/12/25,1342.22,,335834.33
19/12/25,UPI/294892054250/BLINKIT GROCERY/HDFC,,19/12/25,1834.06,,334000.27
20/12/25,UPI/767891751334/FLIPKART INTERNET/HDFC,,20/12/25,9501.09,,324499.18
22/12/25,POS 4426XXXXXXXX8584 HPCL PETROL PUMP,,22/12/25,3921.92,,320577.26
27/12/25,POS 4500XXXXXXXX7573 IKEA INDIA PVT LTD,,27/12/25,9537.78,,311039.48
28/12/25,UPI/714056558537/URBAN COMPANY SALON/HDFC,,28/12/25,1128.73,,309910.75
29/12/25,UPI/912111196658/OLA CABS ANI TECH/PAYTM,,29/12/25,608.48,,309302.27
31/12/25,UPI/735853156432/BEHROUZ BIRYANI/PAYTM,,31/12/25,568.66,,308733.61
01/01/26,NEFT CR-HDFC0000123-ACME TECHNOLOGIES PVT LTD-SALARY JAN26,,01/01/26,,200260.49,508994.10
02/01/26,POS 4000XXXXXXXX1131 THIRD WAVE COFFEE,,02/01/26,372.23,,508621.87
02/01/26,UPI/832176965063/NOBROKER PAY RENT LANDLORD/HDFC,,02/01/26,34000.00,,474621.87
03/01/26,POS 4732XXXXXXXX4262 HPCL PETROL PUMP,,03/01/26,2412.85,,472209.02
05/01/26,ACH DR HDFC BANK HOME LOAN EMI JAN26,,05/01/26,21500.00,,450709.02
05/01/26,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,05/01/26,1199.00,,449510.02
06/01/26,UPI/423914688833/SWIGGY FOOD ORDER/HDFC,,06/01/26,527.26,,448982.76
06/01/26,UPI/517376305401/ZERODHA BROKING MF SIP/ZERO,,06/01/26,20000.00,,428982.76
07/01/26,ACH DR NETFLIX ENTERTAINMENT SVC,,07/01/26,649.00,,428333.76
08/01/26,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,08/01/26,2351.20,,425982.56
09/01/26,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,09/01/26,3015.00,,422967.56
09/01/26,POS 4239XXXXXXXX2440 DMART AVENUE SUPERMARTS,,09/01/26,3924.96,,419042.60
09/01/26,UPI/327566031083/DOMINOS PIZZA IND/ICIC,,09/01/26,1045.65,,417996.95
