Account Name,DUAL-INCOME HOUSEHOLD WITH A CHILD
Account Number,______4898

Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
12 Jan 2025,12 Jan 2025,POS 5302XXXXXXXX7663 CHAAYOS TEA CAFE,,653.08,,499180.88
12 Jan 2025,12 Jan 2025,UPI/477088783743/MAHANAGAR GAS BILL PAY/MGAS,,691.34,,498489.54
13 Jan 2025,13 Jan 2025,UPI/612367536507/NYKAA ECOMM/ICIC,,2016.14,,496473.40
14 Jan 2025,14 Jan 2025,UPI/865083931211/LICIOUS MEAT DELIVERY/HDFC,,1344.36,,495129.04
14 Jan 2025,14 Jan 2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,599.00,,494530.04
16 Jan 2025,16 Jan 2025,ACH DR ADOBE CREATIVE CLOUD,,2019.00,,492511.04
16 Jan 2025,16 Jan 2025,UPI/228646581926/BARBEQUE NATION HOSP/HDFC,,2753.94,,489757.10
17 Jan 2025,17 Jan 2025,UPI/279256767544/BEHROUZ BIRYANI/PAYTM,,545.23,,489211.87
17 Jan 2025,17 Jan 2025,UPI/876183956102/PAYTM FASTAG RECHARGE/PYTM,,952.76,,488259.11
18 Jan 2025,18 Jan 2025,POS 5415XXXXXXXX3879 PVR CINEMAS LTD,,1104.83,,487154.28
18 Jan 2025,18 Jan 2025,UPI/390829287269/BIGBASKET SUPERMKT/ICIC,,5021.65,,482132.63
18 Jan 2025,18 Jan 2025,UPI/697449190689/CRED CLUB CREDIT CARD BILL/AXIS,,14954.27,,467178.36
18 Jan 2025,18 Jan 2025,UPI/962863663393/URBAN COMPANY SALON/HDFC,,1440.31,,465738.05
19 Jan 2025,19 Jan 2025,ACH DR GOOGLE ONE STORAGE,,210.00,,465528.05
19 Jan 2025,19 Jan 2025,UPI/492783306617/BARBEQUE NATION HOSP/HDFC,,4073.56,,461454.49
20 Jan 2025,20 Jan 2025,POS 5280XXXXXXXX4926 PRACTO CONSULT,,1609.13,,459845.36
20 Jan 2025,20 Jan 2025,UPI/678551103137/BLINKIT GROCERY/HDFC,,1638.15,,458207.21
21 Jan 2025,21 Jan 2025,UPI/676141549174/ZOMATO ONLINE ORDER/YESB,,1019.75,,457187.46
22 Jan 2025,22 Jan 2025,POS 5167XXXXXXXX4709 MCDONALDS INDIA PVT,,549.21,,456638.25
23 Jan 2025,23 Jan 2025,POS 5075XXXXXXXX7324 AMAZON SELLER SERVICES,,9900.29,,446737.96
23 Jan 2025,23 Jan 2025,POS 5557XXXXXXXX9366 MCDONALDS INDIA PVT,,747.85,,445990.11
24 Jan 2025,24 Jan 2025,POS 4864XXXXXXXX4698 HPCL PETROL PUMP,,4421.39,,441568.72
25 Jan 2025,25 Jan 2025,POS 4308XXXXXXXX1096 THIRD WAVE COFFEE,,801.75,,440766.97
25 Jan 2025,25 Jan 2025,POS 4437XXXXXXXX8154 PVR CINEMAS LTD,,1406.56,,439360.41
25 Jan 2025,25 Jan 2025,POS 5088XXXXXXXX8426 AMAZON SELLER SERVICES,,9059.03,,430301.38
28 Jan 2025,28 Jan 2025,UPI/665941222354/FLIPKART INTERNET/HDFC,,3803.81,,426497.57
29 Jan 2025,29 Jan 2025,POS 5425XXXXXXXX7988 IRCTC RAIL TICKET BOOKING,,3088.57,,423409.00
30 Jan 2025,30 Jan 2025,UPI/126124413629/UBER INDIA SYSTEMS/HDFC,,834.99,,422574.01
31 Jan 2025,31 Jan 2025,POS 5360XXXXXXXX3763 CULT FIT FITNESS,,2093.10,,420480.91
31 Jan 2025,31 Jan 2025,UPI/524864200656/URBAN COMPANY SALON/HDFC,,2729.13,,417751.78
01 Feb 2025,01 Feb 2025,NEFT CR-ICIC0000456-NORTHSTAR ANALYTICS LLP-SALARY FEB25,,,310876.62,728628.40
01 Feb 2025,01 Feb 2025,UPI/820334842076/OLA CABS ANI TECH/PAYTM,,504.95,,728123.45
02 Feb 2025,02 Feb 2025,UPI/904906091097/NOBROKER PAY RENT LANDLORD/HDFC,,52000.00,,676123.45
03 Feb 2025,03 Feb 2025,POS 4149XXXXXXXX7038 IRCTC RAIL TICKET BOOKING,,1561.46,,674561.99
03 Feb 2025,03 Feb 2025,UPI/174727833467/DOMINOS PIZZA IND/ICIC,,553.92,,674008.07
04 Feb 2025,04 Feb 2025,ACH DR LITTLE SCHOLARS DAYCARE MONTHLY FEE,,18500.00,,655508.07
04 Feb 2025,04 Feb 2025,UPI/328926392829/WOW MOMO FOODS/AXIS,,536.02,,654972.05
05 Feb 2025,05 Feb 2025,ACH DR HDFC BANK HOME LOAN EMI FEB25,,38000.00,,616972.05
05 Feb 2025,05 Feb 2025,UPI/870819530322/URBAN COMPANY SALON/HDFC,,2825.35,,614146.70
05 Feb 2025,05 Feb 2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,1395.00,,612751.70
06 Feb 2025,06 Feb 2025,UPI/126127757242/SWIGGY FOOD ORDER/HDFC,,613.20,,612138.50
06 Feb 2025,06 Feb 2025,UPI/602393968303/ZERODHA BROKING MF SIP/ZERO,,35000.00,,577138.50
07 Feb 2025,07 Feb 2025,ACH DR NETFLIX ENTERTAINMENT SVC,,810.00,,576328.50
08 Feb 2025,08 Feb 2025,POS 4141XXXXXXXX7316 THIRD WAVE COFFEE,,356.78,,575971.72
08 Feb 2025,08 Feb 2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,2011.98,,573959.74
09 Feb 2025,09 Feb 2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,2450.00,,571509.74
09 Feb 2025,09 Feb 2025,POS 5177XXXXXXXX3464 HPCL PETROL PUMP,,4264.09,,567245.65
09 Feb 2025,09 Feb 2025,POS 5218XXXXXXXX2972 THIRD WAVE COFFEE,,587.15,,566658.50
09 Feb 2025,09 Feb 2025,UPI/869252780212/BLINKIT GROCERY/HDFC,,1968.96,,564689.54
10 Feb 2025,10 Feb 2025,UPI/530161401065/RAPIDO BIKE TAXI/YESB,,117.30,,564572.24
11 Feb 2025,11 Feb 2025,ACH DR SPOTIFY INDIA PREMIUM,,185.00,,564387.24
11 Feb 2025,11 Feb 2025,UPI/716102516243/RAPIDO BIKE TAXI/YESB,,203.51,,564183.73
12 Feb 2025,12 Feb 2025,UPI/100778236739/MAHANAGAR GAS BILL PAY/MGAS,,1060.14,,563123.59
13 Feb 2025,13 Feb 2025,UPI/825706705624/ZOMATO ONLINE ORDER/YESB,,719.32,,562404.27
14 Feb 2025,14 Feb 2025,ATW-5053XXXXXXXX3612-HDFC BANK ATM CASH WITHDRAWAL,,3000.00,,559404.27
14 Feb 2025,14 Feb 2025,IMPS CR-221244606-PERFORMANCE INCENTIVE PAYOUT,,,38135.01,597539.28
14 Feb 2025,14 Feb 2025,UPI/804402134226/ZOMATO ONLINE ORDER/YESB,,345.34,,597193.94
14 Feb 2025,14 Feb 2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,599.00,,596594.94
15 Feb 2025,15 Feb 2025,UPI/464141108916/PAYTM FASTAG RECHARGE/PYTM,,1024.54,,595570.40
15 Feb 2025,15 Feb 2025,UPI/670637859049/BARBEQUE NATION HOSP/HDFC,,5192.22,,590378.18
16 Feb 2025,16 Feb 2025,ACH DR ADOBE CREATIVE CLOUD,,2019.00,,588359.18
16 Feb 2025,16 Feb 2025,UPI/614525641140/SWIGGY FOOD ORDER/HDFC,,1292.60,,587066.58
17 Feb 2025,17 Feb 2025,UPI/186598677339/CRED CLUB CREDIT CARD BILL/AXIS,,18399.31,,568667.27
17 Feb 2025,17 Feb 2025,UPI/836729699940/ZEPTO NOW/YESB,,803.55,,567863.72
18 Feb 2025,18 Feb 2025,POS 5285XXXXXXXX3512 DECATHLON SPORTS INDIA,,7062.80,,560800.92
19 Feb 2025,19 Feb 2025,ACH DR GOOGLE ONE STORAGE,,210.00,,560590.92
20 Feb 2025,20 Feb 2025,POS 5426XXXXXXXX1322 IRCTC RAIL TICKET BOOKING,,3510.92,,557080.00
20 Feb 2025,20 Feb 2025,UPI/543987177458/BARBEQUE NATION HOSP/HDFC,,2238.18,,554841.82
21 Feb 2025,21 Feb 2025,UPI/225791701278/PAYTM FASTAG RECHARGE/PYTM,,1199.85,,553641.97
21 Feb 2025,21 Feb 2025,UPI/275773832399/FLIPKART INTERNET/HDFC,,5065.50,,548576.47
21 Feb 2025,21 Feb 2025,UPI/617917392352/BARBEQUE NATION HOSP/HDFC,,3119.35,,545457.12
22 Feb 2025,22 Feb 2025,ATW-4596XXXXXXXX1045-HDFC BANK ATM CASH WITHDRAWAL,,5000.00,,540457.12
22 Feb 2025,22 Feb 2025,POS 4914XXXXXXXX4014 DECATHLON SPORTS INDIA,,4103.02,,536354.10
22 Feb 2025,22 Feb 2025,UPI/783209070353/BARBEQUE NATION HOSP/HDFC,,3844.56,,532509.54
23 Feb 2025,23 Feb 2025,POS 4473XXXXXXXX6403 STARBUCKS COFFEE INDIA,,779.04,,531730.50
23 Feb 2025,23 Feb 2025,POS 4640XXXXXXXX6097 HPCL PETROL PUMP,,3220.64,,528509.86
24 Feb 2025,24 Feb 2025,POS 4850XXXXXXXX3838 IRCTC RAIL TICKET BOOKING,,2626.43,,525883.43
24 Feb 2025,24 Feb 2025,UPI/542083255477/ZEPTO NOW/YESB,,1386.80,,524496.63
25 Feb 2025,25 Feb 2025,UPI/225354348728/OLA CABS ANI TECH/PAYTM,,495.02,,524001.61
27 Feb 2025,27 Feb 2025,POS 4121XXXXXXXX2478 PRACTO CONSULT,,1683.78,,522317.83
28 Feb 2025,28 Feb 2025,POS 5326XXXXXXXX4602 AMAZON SELLER SERVICES,,6659.97,,515657.86
28 Feb 2025,28 Feb 2025,UPI/155731154501/OLA CABS ANI TECH/PAYTM,,665.77,,514992.09
28 Feb 2025,28 Feb 2025,UPI/658671505718/SWIGGY FOOD ORDER/HDFC,,931.32,,514060.77
01 Mar 2025,01 Mar 2025,NEFT CR-ICIC0000456-NORTHSTAR ANALYTICS LLP-SALARY MAR25,,,309488.35,823549.12
01 Mar 2025,01 Mar 2025,POS 4060XXXXXXXX3682 PVR CINEMAS LTD,,750.46,,822798.66
02 Mar 2025,02 Mar 2025,UPI/386433021564/UBER INDIA SYSTEMS/HDFC,,860.38,,821938.28
02 Mar 2025,02 Mar 2025,UPI/915923050961/NOBROKER PAY RENT LANDLORD/HDFC,,52000.00,,769938.28
03 Mar 2025,03 Mar 2025,POS 4176XXXXXXXX5224 LAKME SALON,,1702.65,,768235.63
04 Mar 2025,04 Mar 2025,ACH DR LITTLE SCHOLARS DAYCARE MONTHLY FEE,,18500.00,,749735.63
04 Mar 2025,04 Mar 2025,UPI/489294674035/ZOMATO ONLINE ORDER/YESB,,1082.48,,748653.15
04 Mar 2025,04 Mar 2025,UPI/572298377401/PAYTM FASTAG RECHARGE/PYTM,,790.82,,747862.33
05 Mar 2025,05 Mar 2025,ACH DR HDFC BANK HOME LOAN EMI MAR25,,38000.00,,709862.33
05 Mar 2025,05 Mar 2025,ATW-4098XXXXXXXX7641-HDFC BANK ATM CASH WITHDRAWAL,,10000.00,,699862.33
05 Mar 2025,05 Mar 2025,UPI/967500516134/WOW MOMO FOODS/AXIS,,570.64,,699291.69
05 Mar 2025,05 Mar 2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,1395.00,,697896.69
06 Mar 2025,06 Mar 2025,POS 4567XXXXXXXX9445 HPCL PETROL PUMP,,4612.36,,693284.33
06 Mar 2025,06 Mar 2025,UPI/149094755656/ZERODHA BROKING MF SIP/ZERO,,35000.00,,658284.33
06 Mar 2025,06 Mar 2025,UPI/990424565679/COUNTRY DELIGHT MILK/AXIS,,785.80,,657498.53
07 Mar 2025,07 Mar 2025,ACH DR NETFLIX ENTERTAINMENT SVC,,810.00,,656688.53
07 Mar 2025,07 Mar 2025,UPI/845775693790/BEHROUZ BIRYANI/PAYTM,,1347.82,,655340.71
08 Mar 2025,08 Mar 2025,POS 5030XXXXXXXX7213 AMAZON SELLER SERVICES,,7904.51,,647436.20
08 Mar 2025,08 Mar 2025,UPI/248974463158/URBAN COMPANY SALON/HDFC,,944.90,,646491.30
08 Mar 2025,08 Mar 2025,UPI/264256217525/DOMINOS PIZZA IND/ICIC,,892.71,,645598.59
08 Mar 2025,08 Mar 2025,UPI/315422156142/BLINKIT GROCERY/HDFC,,1159.42,,644439.17
08 Mar 2025,08 Mar 2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,3829.58,,640609.59
09 Mar 2025,09 Mar 2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,2450.00,,638159.59
09 Mar 2025,09 Mar 2025,UPI/113764987419/ZOMATO ONLINE ORDER/YESB,,1409.63,,636749.96
09 Mar 2025,09 Mar 2025,UPI/197337859957/COUNTRY DELIGHT MILK/AXIS,,983.49,,635766.47
10 Mar 2025,10 Mar 2025,UPI/156261651612/BARBEQUE NATION HOSP/HDFC,,3329.88,,632436.59
11 Mar 2025,11 Mar 2025,ACH DR SPOTIFY INDIA PREMIUM,,185.00,,632251.59
11 Mar 2025,11 Mar 2025,POS 4377XXXXXXXX4927 LAKME SALON,,1654.60,,630596.99
11 Mar 2025,11 Mar 2025,UPI/469650799353/BARBEQUE NATION HOSP/HDFC,,4228.20,,626368.79
12 Mar 2025,12 Mar 2025,POS 4502XXXXXXXX3468 CHAAYOS TEA CAFE,,549.46,,625819.33
12 Mar 2025,12 Mar 2025,UPI/121753309732/NAMMA YATRI/AXIS,,510.69,,625308.64
12 Mar 2025,12 Mar 2025,UPI/807142778085/MAHANAGAR GAS BILL PAY/MGAS,,870.42,,624438.22
13 Mar 2025,13 Mar 2025,UPI/517996046939/RAPIDO BIKE TAXI/YESB,,123.36,,624314.86
13 Mar 2025,13 Mar 2025,UPI/888886517612/ZEPTO NOW/YESB,,826.44,,623488.42
14 Mar 2025,14 Mar 2025,POS 4124XXXXXXXX7884 CHAAYOS TEA CAFE,,348.40,,623140.02
14 Mar 2025,14 Mar 2025,UPI/292921836231/RAPIDO BIKE TAXI/YESB,,254.42,,622885.60
14 Mar 2025,14 Mar 2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,599.00,,622286.60
15 Mar 2025,15 Mar 2025,UPI/797722885411/BEHROUZ BIRYANI/PAYTM,,2059.29,,620227.31
16 Mar 2025,16 Mar 2025,ACH DR ADOBE CREATIVE CLOUD,,2019.00,,618208.31
17 Mar 2025,17 Mar 2025,POS 4191XXXXXXXX9236 CHAAYOS TEA CAFE,,314.47,,617893.84
17 Mar 2025,17 Mar 2025,POS 5025XXXXXXXX1252 AMAZON SELLER SERVICES,,949.60,,616944.24
18 Mar 2025,18 Mar 2025,POS 4300XXXXXXXX1154 THIRD WAVE COFFEE,,628.20,,616316.04
19 Mar 2025,19 Mar 2025,ACH DR GOOGLE ONE STORAGE,,210.00,,616106.04
19 Mar 2025,19 Mar 2025,POS 4072XXXXXXXX5871 MYNTRA DESIGNS PVT LTD,,6968.60,,609137.44
19 Mar 2025,19 Mar 2025,UPI/113960396200/APOLLO PHARMACY/HDFC,,351.68,,608785.76
20 Mar 2025,20 Mar 2025,UPI/350551371522/ZOMATO ONLINE ORDER/YESB,,860.97,,607924.79
21 Mar 2025,21 Mar 2025,POS 4244XXXXXXXX1139 AMAZON SELLER SERVICES,,9873.19,,598051.60
21 Mar 2025,21 Mar 2025,UPI/517826495562/BEHROUZ BIRYANI/PAYTM,,934.13,,597117.47
22 Mar 2025,22 Mar 2025,UPI/116235936499/WOW MOMO FOODS/AXIS,,520.76,,596596.71
22 Mar 2025,22 Mar 2025,UPI/987124350085/BOOKMYSHOW TICKETS/HDFC,,591.07,,596005.64
25 Mar 2025,25 Mar 2025,UPI/686882897188/PAYTM FASTAG RECHARGE/PYTM,,768.29,,595237.35
26 Mar 2025,26 Mar 2025,ATM CASH WDL CHARGE EXCEEDING FREE LIMIT INCL GST,,25.96,,595211.39
26 Mar 2025,26 Mar 2025,IMPS DR-248262804-SELF TRANSFER TO SAVINGS AC,,42008.41,,553202.98
26 Mar 2025,26 Mar 2025,POS 5310XXXXXXXX6136 MCDONALDS INDIA PVT,,441.38,,552761.60
27 Mar 2025,27 Mar 2025,UPI/244969102276/DOMINOS PIZZA IND/ICIC,,711.55,,552050.05
28 Mar 2025,28 Mar 2025,POS 5116XXXXXXXX6343 LAKME SALON,,3159.46,,548890.59
28 Mar 2025,28 Mar 2025,UPI/665670623212/COUNTRY DELIGHT MILK/AXIS,,773.73,,548116.86
29 Mar 2025,29 Mar 2025,POS 4588XXXXXXXX5720 STEAM GAMES VALVE CORP,,3245.93,,544870.93
29 Mar 2025,29 Mar 2025,UPI/608269009228/LICIOUS MEAT DELIVERY/HDFC,,2020.95,,542849.98
30 Mar 2025,30 Mar 2025,UPI/574846768379/SWIGGY FOOD ORDER/HDFC,,549.02,,542300.96
30 Mar 2025,30 Mar 2025,UPI/853460386754/ZEPTO NOW/YESB,,1447.26,,540853.70
31 Mar 2025,31 Mar 2025,POS 5077XXXXXXXX6010 DECATHLON SPORTS INDIA,,5477.78,,535375.92
01 Apr 2025,01 Apr 2025,NEFT CR-ICIC0000456-NORTHSTAR ANALYTICS LLP-SALARY APR25,,,309409.84,844785.76
01 Apr 2025,01 Apr 2025,POS 5388XXXXXXXX1818 LAKME SALON,,3066.56,,841719.20
01 Apr 2025,01 Apr 2025,UPI/753544100427/COUNTRY DELIGHT MILK/AXIS,,1126.26,,840592.94
02 Apr 2025,02 Apr 2025,POS 5101XXXXXXXX6750 IRCTC RAIL TICKET BOOKING,,2766.79,,837826.15
02 Apr 2025,02 Apr 2025,UPI/819927361000/NOBROKER PAY RENT LANDLORD/HDFC,,52000.00,,785826.15
04 Apr 2025,04 Apr 2025,ACH DR LITTLE SCHOLARS DAYCARE MONTHLY FEE,,18500.00,,767326.15
04 Apr 2025,04 Apr 2025,SMS ALERT CHARGES INCL GST,,23.60,,767302.55
05 Apr 2025,05 Apr 2025,ACH DR HDFC BANK HOME LOAN EMI APR25,,38000.00,,729302.55
05 Apr 2025,05 Apr 2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,1395.00,,727907.55
06 Apr 2025,06 Apr 2025,POS 4331XXXXXXXX5531 MYNTRA DESIGNS PVT LTD,,2743.32,,725164.23
06 Apr 2025,06 Apr 2025,UPI/376776074566/ZERODHA BROKING MF SIP/ZERO,,35000.00,,690164.23
06 Apr 2025,06 Apr 2025,UPI/911437051331/BEHROUZ BIRYANI/PAYTM,,1183.25,,688980.98
07 Apr 2025,07 Apr 2025,ACH DR NETFLIX ENTERTAINMENT SVC,,810.00,,688170.98
08 Apr 2025,08 Apr 2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,4310.40,,683860.58
09 Apr 2025,09 Apr 2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,2450.00,,681410.58
09 Apr 2025,09 Apr 2025,POS 4563XXXXXXXX7104 IRCTC RAIL TICKET BOOKING,,3639.09,,677771.49
09 Apr 2025,09 Apr 2025,UPI/785328366653/DOMINOS PIZZA IND/ICIC,,960.56,,676810.93
10 Apr 2025,10 Apr 2025,ATW-4278XXXXXXXX4323-HDFC BANK ATM CASH WITHDRAWAL,,2000.00,,674810.93
10 Apr 2025,10 Apr 2025,NEFT DR-GREENWOOD HIGH SCHOOL-TERM FEE,,46000.00,,628810.93
11 Apr 2025,11 Apr 2025,ACH DR SPOTIFY INDIA PREMIUM,,185.00,,628625.93
12 Apr 2025,12 Apr 2025,UPI/287658358130/ZEPTO NOW/YESB,,985.66,,627640.27
12 Apr 2025,12 Apr 2025,UPI/957056035311/MAHANAGAR GAS BILL PAY/MGAS,,938.18,,626702.09
13 Apr 2025,13 Apr 2025,POS 5082XXXXXXXX5327 DMART AVENUE SUPERMARTS,,2133.74,,624568.35
13 Apr 2025,13 Apr 2025,UPI/416025036315/OLA CABS ANI TECH/PAYTM,,398.73,,624169.62
13 Apr 2025,13 Apr 2025,UPI/489680245018/WOW MOMO FOODS/AXIS,,398.42,,623771.20
14 Apr 2025,14 Apr 2025,UPI/514990711596/BARBEQUE NATION HOSP/HDFC,,4568.56,,619202.64
14 Apr 2025,14 Apr 2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,599.00,,618603.64
16 Apr 2025,16 Apr 2025,ACH DR ADOBE CREATIVE CLOUD,,2019.00,,616584.64
17 Apr 2025,17 Apr 2025,POS 5198XXXXXXXX5981 IRCTC RAIL TICKET BOOKING,,614.61,,615970.03
19 Apr 2025,19 Apr 2025,ACH DR GOOGLE ONE STORAGE,,242.00,,615728.03
20 Apr 2025,20 Apr 2025,POS 4669XXXXXXXX1697 CULT FIT FITNESS,,2338.04,,613389.99
20 Apr 2025,20 Apr 2025,UPI/991588016412/NAMMA YATRI/AXIS,,401.11,,612988.88
21 Apr 2025,21 Apr 2025,POS 4638XXXXXXXX6477 THIRD WAVE COFFEE,,642.64,,612346.24
21 Apr 2025,21 Apr 2025,POS 5527XXXXXXXX6363 HPCL PETROL PUMP,,4902.10,,607444.14
21 Apr 2025,21 Apr 2025,POS 5541XXXXXXXX5579 DMART AVENUE SUPERMARTS,,3501.43,,603942.71
21 Apr 2025,21 Apr 2025,UPI/283181123416/FLIPKART INTERNET/HDFC,,3907.92,,600034.79
23 Apr 2025,23 Apr 2025,UPI/470248674619/CRED CLUB CREDIT CARD BILL/AXIS,,14044.84,,585989.95
26 Apr 2025,26 Apr 2025,UPI/746778305269/BEHROUZ BIRYANI/PAYTM,,1041.30,,584948.65
27 Apr 2025,27 Apr 2025,UPI/147217661404/NAMMA YATRI/AXIS,,292.46,,584656.19
27 Apr 2025,27 Apr 2025,UPI/827583215885/ZEPTO NOW/YESB,,1353.17,,583303.02
28 Apr 2025,28 Apr 2025,UPI/582638228676/BARBEQUE NATION HOSP/HDFC,,1920.11,,581382.91
01 May 2025,01 May 2025,NEFT CR-ICIC0000456-NORTHSTAR ANALYTICS LLP-SALARY MAY25,,,308786.74,890169.65
02 May 2025,02 May 2025,POS 5551XXXXXXXX3696 IKEA INDIA PVT LTD,,12944.88,,877224.77
02 May 2025,02 May 2025,UPI/237356238671/NOBROKER PAY RENT LANDLORD/HDFC,,52000.00,,825224.77
03 May 2025,03 May 2025,POS 4944XXXXXXXX8260 PVR CINEMAS LTD,,622.10,,824602.67
03 May 2025,03 May 2025,UPI/225759363933/BARBEQUE NATION HOSP/HDFC,,4491.07,,820111.60
03 May 2025,03 May 2025,UPI/717185848408/UBER INDIA SYSTEMS/HDFC,,540.06,,819571.54
03 May 2025,03 May 2025,UPI/832506660643/URBAN COMPANY SALON/HDFC,,787.32,,818784.22
04 May 2025,04 May 2025,ACH DR LITTLE SCHOLARS DAYCARE MONTHLY FEE,,18500.00,,800284.22
05 May 2025,05 May 2025,ACH DR HDFC BANK HOME LOAN EMI MAY25,,38000.00,,762284.22
05 May 2025,05 May 2025,UPI/176967914472/OLA CABS ANI TECH/PAYTM,,1076.53,,761207.69
05 May 2025,05 May 2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,1395.00,,759812.69
06 May 2025,06 May 2025,UPI/439538348107/ZERODHA BROKING MF SIP/ZERO,,35000.00,,724812.69
07 May 2025,07 May 2025,ACH DR NETFLIX ENTERTAINMENT SVC,,810.00,,724002.69
08 May 2025,08 May 2025,UPI/446579291180/OLA CABS ANI TECH/PAYTM,,797.85,,723204.84
08 May 2025,08 May 2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,3992.61,,719212.23
09 May 2025,09 May 2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,2450.00,,716762.23
09 May 2025,09 May 2025,UPI/176481033351/BARBEQUE NATION HOSP/HDFC,,3066.08,,713696.15
10 May 2025,10 May 2025,POS 4214XXXXXXXX5167 CHAAYOS TEA CAFE,,267.96,,713428.19
10 May 2025,10 May 2025,UPI/403386485279/AMAZON SELLER SERV REFUND/HDFC,,,959.11,714387.30
10 May 2025,10 May 2025,UPI/664515186544/BIGBASKET SUPERMKT/ICIC,,2524.41,,711862.89
10 May 2025,10 May 2025,UPI/912132005335/UBER INDIA SYSTEMS/HDFC,,441.58,,711421.31
11 May 2025,11 May 2025,ACH DR SPOTIFY INDIA PREMIUM,,185.00,,711236.31
11 May 2025,11 May 2025,UPI/341110810489/SWIGGY FOOD ORDER/HDFC,,862.76,,710373.55
12 May 2025,12 May 2025,POS 4950XXXXXXXX8672 HPCL PETROL PUMP,,5292.67,,705080.88
12 May 2025,12 May 2025,UPI/281699436171/MAHANAGAR GAS BILL PAY/MGAS,,631.98,,704448.90
13 May 2025,13 May 2025,UPI/272663916271/BEHROUZ BIRYANI/PAYTM,,1122.39,,703326.51
14 May 2025,14 May 2025,UPI/197068260239/BARBEQUE NATION HOSP/HDFC,,2557.42,,700769.09
14 May 2025,14 May 2025,UPI/721538419325/RAPIDO BIKE TAXI/YESB,,108.90,,700660.19
14 May 2025,14 May 2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,599.00,,700061.19
15 May 2025,15 May 2025,UPI/124725321971/ZOMATO ONLINE ORDER/YESB,,680.83,,699380.36
16 May 2025,16 May 2025,ACH DR ADOBE CREATIVE CLOUD,,2019.00,,697361.36
16 May 2025,16 May 2025,POS 4495XXXXXXXX4726 STARBUCKS COFFEE INDIA,,557.56,,696803.80
17 May 2025,17 May 2025,UPI/324143209348/UBER INDIA SYSTEMS/HDFC,,679.19,,696124.61
17 May 2025,17 May 2025,UPI/733717896084/SWIGGY FOOD ORDER/HDFC,,998.63,,695125.98
18 May 2025,18 May 2025,POS 5528XXXXXXXX4881 CHAAYOS TEA CAFE,,547.71,,694578.27
19 May 2025,19 May 2025,ACH DR GOOGLE ONE STORAGE,,242.00,,694336.27
20 May 2025,20 May 2025,UPI/659682689795/BARBEQUE NATION HOSP/HDFC,,2170.86,,692165.41
21 May 2025,21 May 2025,ATW-4848XXXXXXXX3000-HDFC BANK ATM CASH WITHDRAWAL,,5000.00,,687165.41
21 May 2025,21 May 2025,POS 5107XXXXXXXX9363 DECATHLON SPORTS INDIA,,9710.67,,677454.74
21 May 2025,21 May 2025,UPI/837566939846/OLA CABS ANI TECH/PAYTM,,935.20,,676519.54
22 May 2025,22 May 2025,UPI/634696254071/NAMMA YATRI/AXIS,,234.79,,676284.75
22 May 2025,22 May 2025,UPI/996661872048/DOMINOS PIZZA IND/ICIC,,503.48,,675781.27
24 May 2025,24 May 2025,POS 4805XXXXXXXX8414 HPCL PETROL PUMP,,2090.14,,673691.13
24 May 2025,24 May 2025,POS 5598XXXXXXXX2541 CULT FIT FITNESS,,3353.90,,670337.23
24 May 2025,24 May 2025,UPI/399705335467/CRED CLUB CREDIT CARD BILL/AXIS,,12504.48,,657832.75
26 May 2025,26 May 2025,SMS ALERT CHARGES INCL GST,,17.70,,657815.05
26 May 2025,26 May 2025,UPI/519136312326/ZEPTO NOW/YESB,,525.13,,657289.92
27 May 2025,27 May 2025,POS 4649XXXXXXXX2573 CHAAYOS TEA CAFE,,380.92,,656909.00
28 May 2025,28 May 2025,IMPS DR-490977686-SELF TRANSFER TO SAVINGS AC,,60963.92,,595945.08
28 May 2025,28 May 2025,UPI/726691869233/NAMMA YATRI/AXIS,,267.07,,595678.01
31 May 2025,31 May 2025,POS 4501XXXXXXXX3591 CULT FIT FITNESS,,2638.72,,593039.29
31 May 2025,31 May 2025,POS 5493XXXXXXXX3869 AMAZON SELLER SERVICES,,11686.40,,581352.89
31 May 2025,31 May 2025,UPI/289938386530/BIGBASKET SUPERMKT/ICIC,,3878.00,,577474.89
31 May 2025,31 May 2025,UPI/918369167425/BARBEQUE NATION HOSP/HDFC,,5323.40,,572151.49
